hebraeisch,bemerkungen,deutsch,lektion
יצא,Hi.,"hinaus-, herausführen",7
שֻׁלחָן,,Tisch,7
אוֹר,,leuchten,7
אוֹר,,Licht,7
ישׁב,Q.,"sitzen, wohnen, bleiben",7
גֵּר,,"Schutzbürger, sesshafter Fremder",7
רוּם,Q.,"hoch sein, erhaben sein",7
מַעַל,,"oben, oberhalb von",7
תַּחַת,,"unter, anstatt von",7
תַּוֶךְ,,Mitte,7
בְתוֹךְ,,inmitten von,7
אַחֲרֵי/אַחֲרֹן,,"nach, nach hinten",7
אַחֲריִת,,"das danach Kommende, Hinteres; Ende, Schluss",7
קֶרֶב,,"Inneres, Mitte, Eingeweide",7
לֶחֶם,,Brot,8
אכל,Q.,essen,8
שׁתה,Q.,trinken,8
יַיִן,,Wein,8
שֶׁמֶן,,Öl,8
כְּלִי,,Gefäß,8
מָלֵא,Q.,"voll sein, erfüllen",8
שׁפך,Q.,ausgießen,8
אֵשׁ,,Feuer,8
שׂרף,Q.,"brennen, verbrennen",8
דְּבַשׁ,,Honig,8
אֶרֶץ,,"Erde, Land",9
גְּבוּל,,"Grenze, Gebiet",9
מָקוֹם,,Ort,9
מִגְרָשׁ,,"Weidegebiet, gemeinsames Weideland",9
שָׂדָה,,Feld,9
אֲדָמָה,,"Erde, Erdboden",9
עָפָר,,Staub,9
עֵבֶר,,"jenseits, gegenüber; jenseitiges Land",9
בָּמָה,,"Höhe, Anhöhe, Opferhöhe",9
הַר,,Berg,9
נֶגֶב,,"trockenes Gebiet; Süden, Südland",9
צוּר,,Fels,9
גֵּיא/גַּיְא,,"Tal, Schlucht",9
סָבִיב,,ringsum,9
מַיִם,,Wasser,9
נָהָר,,Fluss,9
נָחָל,,"Bach, Sturzbach",9
יְאֹר,,"(großer) Fluss; meist: Nil, Nilarm",9
בּוֹר,,Grube,9
יבשׁ,Q.,"trocken werden, verdorren",9
עִיר,,Stadt,9
עָרִים,,Städte (Pl. f.),9
חוֹמָה,,Mauer,9
חוּץ,,Straße¸ draußen,9
דֶרֶךְ,,Weg,9
עִבְרִי,,"Hebräer, hebräisch",9
שׁור,,"Rind, Stier",10
פַּר,,"Jungstier, Stier",10
בָּקָר,,Rind; Großvieh,10
צאֹן,,Kleinvieh,10
אַיִל,,Widder,10
כֶּבֶשׂ,,"(entwöhntes) Lamm, junger Widder",10
רעה,,"weiden, hüten",10
אֹהֶל,,Zelt,10
מִדְבָּר,,Wüste,10
מַטֶּה,,"Stab, Stamm",10
שֵׁבֶט,,"Stab, Stamm",10
מִשׁפָּחָה,,"Großfamilie, Sippe, Clan",10
עָנָן,,Wolke,10
בְּהֵמָה,,Vieh,11
סוּס,,Pferd,11
עוֹף,,"Vögel (koll.), Geflügel",11
עוֹף,Q.,fliegen,11
לכד,Q.,"fangen, einfangen, einnehmen",11
שׁחט,Q.,schlachten,11
כָּנָף,,Flügel,11
אָז,,"damals, da",11
בְּלִי/בִּלְתִּי,,ohne,11
חרשׁ,Q.,pflügen,12
זֶרַע,,Same; Nachkommenschaft,12
אסף,Q.,"sammeln, einsammeln, ernten",12
קבץ,Q.,"sammeln, ernten; versammeln",12
קבץ,Pi.,"sammeln, ernten; versammeln",12
קָצִיר,,Ernte,12
רָעָב,,"Hungersnot , Hunger",12
עֵץ,,Baum,12
פְּרִי,,Frucht,12
שָׁנָה,,Jahr,13
חֹדֶשׁ,,"Monat, Neumond",13
יוֹם,,Tag,13
יָמִים,,Tage (Pl. m.),13
שַׁבָּת,,Sabbat,13
לַיְלָה,,Nacht,13
בֹּקֶר,,Morgen,13
עֶרֶב,,Abend,13
חָדָשׁ,,neu,13
עֵת,,Zeit,13
מוֹעֵד,,Zeit(punkt),13
דּוֹר,,"Generation, Geschlecht; Zeitabschnitt, Periode",13
עוֹלָם,,Ewigkeit,13
תָּמִיד,,"beständig, ständig, immer",13
רֵאשִׁית,,"Anfang, Erstes, Bestes",13
עַתָּה,,jetzt,13
שָׁמַיִם,,Himmel,13
שֶׁמֶשׁ,,Sonne,13
צָפוֹן,,Norden,13
קֶדֶם,,"Osten; vorne, Vorzeit",13
אֶחָד,,"einer, eins",14
שְׁתַּים/שְׁנַיִם,,zwei,14
שָׁלֹשׁ/שְׁלֹשָׁה,,drei,14
אַרְבַּע/אַרְבָּעָה,,vier,14
חָמֵשׁ/חָמִשָּׁה,,fünf,14
שֵׁשׁ/שִׁשָּׁה,,sechs,14
שֶׁבַע/שִׁבְעָה,,sieben,14
שְׁמֹנֶה/שְׁמֹנָה,,acht,14
תֵּשַׁע/תִּשְׁעָה,,neun ,14
עֶשֶׂר/עַשָׂרָה,,zehn,14
עֶשְׂרִים,,zwanzig,14
שְׁלֹשִׁים,,dreißig,14
אַרְבָּעִים,,vierzig,14
חֲמִשִּׁים,,fünfzig,14
שִׁבְעִים,,siebzig,14
מֵאָה,,hundert,14
אֶלֶף,,tausend,14
רִאשׁוֹן,,erster,14
שֵׁנִי,,zweiter,14
שְׁלֹשִׁי,,dritter,14
ספר,Q.,zählen,14
ספר,Ni.,zählbar sein,14
ספר,Pi.,erzählen,14
מִסְפָּר,,Zahl,14
רַב,,"viel, zahlreich",14
רֹב,,(große) Menge,14
רבה,Q.,zahlreich sein,14
רבה,Hi.,zahlreich machen,14
רבב,Q.,zahlreich sein,14
מְעט,,wenig,14
יסף,Q.,hinzufügen,14
יסף,Hi.,hinzufügen,14
לְבַד/בַּד,,"Teil/für sich, nur",14
עָנִי,,"besitzlos, arm, demütig",14
עֳנִי,,"Elend, Leiden",14
חֲצִי,,Hälfte,14
רַק,,nur,14
אַמָּה,,Elle,15
שֶׁקֶל,,Schekel,15
כָּבֵד,Q.,schwer sein,15
כָּבֵד,Pi.,ehren,15
קלל,Q.,leicht sein,15
קלל,Pi.,verfluchen,15
גָּדוֹל,,groß ,15
גדל,Q.,"groß werden, groß sein",15
קטן/קָטוֹן,Q.,klein sein/ klein,15
רֹחַב,,Breite,15
גבהּ,Q.,"hoch, erhaben sein",15
מכר,Q.,verkaufen,15
קנה,Q.,"erwerben, kaufen; schaffen",15
נתן,Q.,geben,15
ירשׁ,Q.,"in Besitz nehmen, beerben, erben",15
ירשׁ,Hi.,vertreiben,15
נַחֲלָה,,"Erbbesitz, Besitz",15
הלך,Q.,gehen,16
נסע,Q.,"aufbrechen, weiterziehen, herausreißen (Zeltpflöcke)",16
חנה,Q.,"sich lagern, sich niederlassen",16
שׁוּב,Q.,"zurückkehren, umkehren",16
שׁוּב,Hi.,zurückbringen,16
סבב,Q.,"umgeben, herumgehen; sich wenden",16
ירד,Q.,hinabsteigen,16
עלה,Q.,"hinaufgehen, aufsteigen",16
עלה,Hi.,"hinaufführen, aufsteigen lassen, opfern",16
עבר,Q.,"vorübergehen, hinübergehen",16
יָם,,Meer,16
תְּהוֹם,,"Urflut, Ozean; Abgrund",16
קרה,Q.,"antreffen, begegnen, hinzukommen, unvermutet eintreffen",16
פנה,Q.,"sich wenden, entgegentreten",16
נוּחַ,Q.,ruhen,16
פַּעַם,,"Mal, Schritt",16
רחק,Q.,"fern sein, sich entfernen",16
נגשׁ,Q.,"herzutreten, nahen, sich nähern",16
נגשׁ,Ni.,"herzutreten, nahen, sich nähern",16
נגשׁ,Hi.,(dar)bringen,16
קרב,Q.,sich nähern,16
קרב,Hi.,darbringen,16
קָרוֹב,,nahe,16
נֶגֶד,,gegenüber,16
יָמִין,,"rechte Hand, rechte Seite",16
שְׂמֹאל,,"linke Hand, linke Seite",16
אֵל,,Gott,17
אֱלֹהִים,,Gott,17
אֱלוֹהַּ,,Gott,17
אָדוֹן,,Herr,17
אֲדֹנָי,,"der Herr, mein Herr",17
עֶלְיוֹן,,"Höchster; höchster, oberer",17
קָדוֹשׁ,,heilig,17
קֹדֶשׁ,,"Heiligkeit, Heiligtum, Heiliges",17
קדשׁ,Q.,"heilig sein, geweiht sein",17
קדשׁ,Pi.,heiligen,17
קדשׁ,Hi.,heiligen,17
נדר,Q.,geloben,17
שׁבע,Ni.,schwören,17
הלל,Pi.,loben,17
תְּהִלָּה,,"Ruhm, Lob, Lobpreis",17
כָּבוֹד,,"Herrlichkeit, Ehre",17
נָבִיא,,Prophet,17
נְאֻם,,"Ausspruch, Orakel, Spruch",17
פלל,Hitp.,beten,17
תְּפִלָּה,,Gebet,17
צוה,Pi.,"befehlen, anordnen",17
תּוֹרָה,,"Weisung, Gesetz, Entscheidung",17
חֹק/חֻקָּה,,"Satzung, Vorschrift",17
מִצְוָה,,"Befehl, Gebot",17
כפר,Pi.,"Sühne schaffen, sühnen",17
ברא,Q.,erschaffen,17
חוה,Hišt.,"huldigen, anbeten, sich niederwerfen",17
ברך,Pi.,segnen,17
בְּרָכָה,,Segen,17
הֵיכָל,,"Tempel, Palast",18
מִזְבֵּחַ,,Altar,18
אֲרוֹן,,"Lade, Bundeslade",18
עַמּוּד,,"Pfeiler, Säule",18
זֶבַח,,Opfer,18
זבח,Q.,opfern,18
מִנְחָה,,"Geschenk, Gabe, Opfergabe (Korn u.ä.)",18
עֹלָה,,Brandopfer,18
כֹּהֵן,,Priester,18
משׁח,Q.,salben,18
מָשִׁיחַ,,Gesalbter,18
הַג/חָג,,Fest,18
מַצָּה,,ungesäuertes Brot,18
תְּרוּמָה,,"(Hebe)opfer, Beitrag",18
קטר,Pi.,"räuchern, rauchen lassen, opfern",18
קָרְבָּן,,"Darbringung, Opfergabe",18
מֶלֶךְ,,König,19
מלך,Q.,König sein,19
מַלְכוּת,,"Königtum, Königsherrschaft",19
מַמְלָכָה,,Königsherrschaft,19
נָשִׂיא,,Fürst,19
שַׂר,,"Beamter, Fürst",19
בחר,Q.,"erwählen, wählen, ernennen",19
משׁל,Q.,"herrschen, Macht haben",19
שָׁלוֹם,,"Friede, Wohlergehen, Wohlstand",19
שׁלם,Q.,"im Friede sein, unversehrt sein, heil sein",19
גּוֹי,,"Volk, Nation",19
עַם,,Volk,19
עֵדָה,,"Gemeinde, Versammlung",19
קהל,Ni.,sich versammeln,19
קהל,Hi.,versammeln,19
קָהָל,,"Versammlung, (Volks)gemeinde",19
כִּסֵּא,,Thron,19
גרשׁ,Q.,vertreiben,19
שׁפט,,"richten, entscheiden, urteilen",19
מִשְׁפָּט,,"Recht, Endurteil, Prozess",19
עֵד,,Zeuge,19
בקשׁ,Pi.,suchen ,19
דרשׁ,Q.,"suchen, fragen nach",19
מצא,Q.,finden,19
צפן,Q.,verbergen,19
חַיִל,,"Kraft, Macht; Truppe",20
צָבָא,,Heer,20
גִּבּוֹר,,"Held, Elitesoldat",20
מִלְחָמָה,,"Kampf, Krieg, Schlacht",20
מַחֲנֶה,,Lager,20
רֶכֶב,,"Wagen, Wagenzug",20
בְּרִית,,"Bund, Verpflichtung",20
כרת,Q.,"Bund schließen, (ab)schneiden",20
כרת,Hi.,ausrotten,20
מָגֵן,,Schild,20
קֶשֶׁת,,Bogen,20
חֶרֶב,,Schwert,20
ישׁע,Hi.,"helfen, retten, befreien",20
פלט,Q.,entkommen,20
פלט,Pi.,retten,20
נצל,Hi.,retten,20
יְשׁוּעַ,,"Hilfe, Rettung",20
פדה,Q.,"loskaufen, erlösen",20
לחם,Ni.,"kämpfen, bekämpfen",20
אֹיֵב,,Feind,20
שׁמר,Q.,"behüten, bewahren, halten, beobachten",20
אוֹת,,"Zeichen, Signal",20
שׁחת,Hi.,"verderben, vernichten, zerstören",21
