hebraeisch,bemerkungen,deutsch,lektion
שׇׁלוֹשׁ/שְׁלֹושָׁה,,drei,12
עֶשֶׂר/עַשָׂרָה,,zehn,12
מֵאָה,,hundert,12
אֶלֶף,,tausend,12
ספר,,zählen,12
מִסְפָּר,,Zahl,12
רַב,,"viel, zahlreich",12
רֹב,,(große) Menge,12
רבה,,zahlreich sein;,12
לְ,,"für, in Bezug auf, zu",1
בְּ,,"in, an, durch",1
כְּ,,wie,1
מִן,,von,1
אֶל,,"zu, gegen",1
עִם,,"mit, bei",1
עַל,,"auf, über; gegen",1
אַחַר,,"hinter, hinterher",1
בֵּין,,zwischen,1
תַּחַת,,"unter, anstatt von",1
אֵת/אֶת־,,I. Akkusativzeichen; II. mit; bei,1
כָּבֵד,,schwer sein,13
גָּדוֹל,,groß,13
גדל,,"groß werden, groß sein",13
קטן,,klein sein,13
קָטוֹן,,klein,13
מכר,,verkaufen,13
קנה,,"erwerben, kaufen; schaffen",13
נתן,,geben,13
נַחֲלָה,,"Erbbesitz, Besitz",13
הלך,,gehen,14
שׁוּב,,"zurückkehren, umkehren",14
סבב,,"umgeben, herumgehen; sich wenden",14
ירד,,hinabsteigen,14
עלה,,"hinaufgehen, aufsteigen",14
עבר,,"vorübergehen, hinübergehen",14
יָם,,Meer,14
פנה,,"sich wenden, entgegentreten",14
רחק,,"fern sein, sich entfernen",14
נגשׁ,,"herzutreten, sich nähern",14
קרב,,sich nähern,14
קָרוֹב,,nahe,14
אֵל,,Gott,15
אֱלֹהִים,,Gott,15
אֱלוֹהַּ,,Gott,15
אָדוֹן,,Herr,15
אֲדֺנָי,,der Herr (wörtlich: mein Herr),15
קָדוֹשׁ,,heilig,15
קֹדֶשׁ,,"Heiligkeit, Heiligtum, Heiliges",15
קדשׁ,,"heilig sein, geweiht sein",15
שׁבע,,schwören,15
הלל,,loben,15
תְּהִלָּה,,"Ruhm, Lob, Lobpreis",15
כָּבוֹד,,"Herrlichkeit, Ehre",15
נָבִיא ,,Prophet,15
נְאֻם,,"Ausspruch, Orakel, Spruch",15
פלל,,beten,15
תְּפִלָּה,,Gebet,15
צוה,,"befehlen, anordnen",15
תּוֹרָה,,"Weisung, Gesetz, Entscheidung",15
חֹק/חֻקָּה,,"Satzung, Vorschrift",15
מִצְוָה,,"Befehl, Gebot",15
ברא,,erschaffen,15
ברך,,segnen,15
בְּרָכָה,,Segen,15
הֵיכָל,,"Tempel, Palast",16
מִזְבֵּחַ,,Altar,16
עַמּוּד,,"Pfeiler, Säule",16
זֶבַח,,Opfer,16
זבח,,opfern,16
מִנְחָה,,"Geschenk, Gabe, Opfergabe (Korn u. ä.)",16
עֹלָה,,Brandopfer,16
כֹּהֵן,,Priester,16
משׁח,,salben,16
מָשִׁיחַ,,Gesalbter,16
חָג/חַג,,Fest,16
מְאֹד,,sehr,1
שָׁם,,dort,1
שַׁמָּה,,"dort, dorthin",1
מַעַל,,"oben, oberhalb von",1
כֹּל/כָּל־,,"die Gesamtheit; ganz, alle",1
לֹא,,nicht,1
אַל,,nicht (Verneinung des Jussivs),1
פֶּן,,damit nicht,1
יֵשׁ,,es gibt,1
אַיִן/אֵין,,es gibt nicht,1
כֹּה,,so,1
כֵּן,,"so, also, ja",1
נָא,,"doch, bitte",1
אַךְ,,"nur, gewiss",1
אַף,,"also, auch, sogar",1
גַּם,,"auch, sogar",1
הֵן/הִנֵּה,,siehe,1
עוֹד,,"noch, nochmals",1
אַחֵר,,anderer,1
מֶלֶךְ,,König,17
מלך,,König sein,17
מַלְכוּת,,"Königtum, Königsherrschaft",17
מַמְלָכָה,,Königsherrschaft,17
נָשִׂיא,,Fürst,17
שַׂר,,"Beamter, Fürst",17
בחר,,"erwählen, wählen, ernennen",17
משׁל,,"herrschen, Macht haben",17
שָׁלוֹם,,"Friede, Wohlergehen, Wohlstand",17
שׁלם,,"im Frieden sein, unversehrt sein, heil sein",17
גּוֹי,,"Volk, Nation",17
עַם,,Volk,17
עֵדָה,,"Gemeinde, Versammlung",17
קהל,,versammeln: sich versammeln,17
קָהָל,,"Versammlung, (Volks)gemeinde",17
כִּסֵּא,,Thron,17
שׁפט,,"richten, entscheiden, urteilen",17
מִשְׁפָּט,,"Recht, Endurteil, Prozess",17
בקשׁ,,suchen,17
דרשׁ,,"suchen, fragen nach",17
מצא,,finden,17
צָבָא,,Heer,18
מִלְחָמָה,,"Kampf, Krieg, Schlacht",18
בְּרִית,,"Bund, Verpflichtung",18
כרת,,Bund schließen: (ab)schneiden,18
חֶרֶב,,Schwert,18
ישׁע,,"helfen, retten, befreien",18
יְשׁוּעַ,,"Hilfe, Rettung",18
לחם,,"kämpfen, bekämpfen",18
אֹיֵב,,Feind,18
שׁמר,,"behüten, bewahren, halten, beobachten",18
אוֹת,,"Zeichen, Signal",18
נוּס,,fliehen,18
רדף,,"verfolgen, nachjagen",18
מַעֲשֶׂה,,"Werk, Tätigkeit, Tat",19
פעל,,"machen, tun, handeln",19
עשׂה,,"machen, tun",19
בנה,,bauen,19
אֶבֶן,,Stein,19
ידע,,"erkennen, kennen",20
סֵפֶר,,Buch,20
חכם,,weise sein,20
חָכָם,,weise,20
חָכְמָה,,Weisheit,20
למד,,lernen,20
ענה,,"I. antworten, erhören
II. niedergedrückt sein, leiden
III. singen",20
אֱמוּנָה,,"Zuverlässigkeit, Vertrauen",20
אֱמֶת,,"Treue, Festigkeit",20
קוה,,"hoffen, warten",20
בטח,,"vertrauen, Vertrauen haben",20
קרא,,rufen; lesen,20
כתב,,schreiben,20
מַלְאָךְ,,"Bote, Engel",20
שׁלח,,"schicken, senden",20
זכר,,"gedenken, sich erinnern",20
שׁכח,,vergessen,20
יִרְאָה,,Furcht,21
יָרֵא,,fürchten,21
שׂמח,,"sich freuen, froh sein",21
שִׂמְחָה,,Freude,21
חָפֵץ,,"Gefallen haben, gern haben, sich vergnügen",21
רחם,,sich erbarmen,21
חֵן,,"Gunst, Gnade",21
חנן,,"gnädig sein, Gnade gewähren",21
שׁאל,,"fragen, bitten",21
יׇשָׁר,,"gerade, richtig, redlich",22
צדק,,"im Recht sein, gerecht sein",22
צַדִּיק,,gerecht,22
צֶדֶק/צְדָקָה,,Gerechtigkeit,22
חֶסֶד,,"Güte, Treue, Gnade, Mitleid",22
חטא,,"sich verfehlen, sündigen",22
חֵטְא/חַטָּאת,,"Verfehlung, Sünde, Opfer für Sünde",22
עָוֹן,,"Sünde, Schuld",22
פשׁע,,"sich auflehnen, sich vergehen",22
פֶּשַׁע,,"Auflehnung, Sünde",22
שָׂנֵא,,hassen,23
חֵמָה,,"Erregung, Zorn, Wut",23
רשׁע,,"ungerecht sein, freveln, böse sein",23
רָשָׁע,,"frevelhaft, gottlos, böse",23
רעע,,"böse sein, schlecht sein",23
רַע,,"schlecht, böse",23
רָעָה,,"Unheil, Böses, Bosheit",23
